                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1269,                 4.2578,                 1.4842,                0.23027,                0.27073,                0.13944,                0.10394,                    nan,                    nan,                    nan,             9.7935e-05,             9.7935e-05,             9.7935e-05
                      2,                 1.1308,                 3.5988,                  1.468,                0.25051,                0.33684,                0.22528,                0.16468,                    nan,                    nan,                    nan,              0.0001927,              0.0001927,              0.0001927
                      3,                 1.1117,                 3.2359,                   1.43,                0.24337,                0.54951,                0.35416,                0.26802,                    nan,                    nan,                    nan,             0.00028424,             0.00028424,             0.00028424
                      4,                 1.1138,                 3.0279,                 1.4368,                0.34949,                0.42183,                 0.3585,                0.26961,                    nan,                    nan,                    nan,             0.00027945,             0.00027945,             0.00027945
                      5,                 1.0857,                 2.7957,                 1.4076,                0.35939,                0.49193,                0.39422,                0.29279,                    nan,                    nan,                    nan,              0.0002746,              0.0002746,              0.0002746
                      6,                 1.0584,                 2.6247,                 1.3818,                0.27331,                0.61227,                 0.4471,                0.33911,                    nan,                    nan,                    nan,             0.00026974,             0.00026974,             0.00026974
                      7,                 1.0443,                  2.475,                 1.3704,                 0.3683,                0.54613,                0.47118,                0.35833,                    nan,                    nan,                    nan,             0.00026489,             0.00026489,             0.00026489
                      8,                 1.0129,                 2.3724,                 1.3597,                0.43546,                0.60268,                0.53452,                0.40485,                    nan,                    nan,                    nan,             0.00026004,             0.00026004,             0.00026004
                      9,                0.98145,                 2.2493,                 1.3278,                 0.3058,                0.65563,                0.53303,                0.40892,                    nan,                    nan,                    nan,             0.00025519,             0.00025519,             0.00025519
                     10,                0.99742,                 2.1999,                 1.3335,                0.37796,                0.62711,                0.55787,                0.43118,                    nan,                    nan,                    nan,             0.00025034,             0.00025034,             0.00025034
                     11,                 0.9726,                 2.0825,                 1.3058,                 0.4572,                0.63209,                0.57592,                0.44216,                    nan,                    nan,                    nan,             0.00024549,             0.00024549,             0.00024549
                     12,                0.95825,                 2.0149,                 1.2963,                  0.452,                0.68246,                0.62384,                0.49064,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     13,                0.96183,                 1.9695,                 1.3006,                0.53834,                0.66773,                0.65009,                0.51533,                    nan,                    nan,                    nan,             0.00023579,             0.00023579,             0.00023579
                     14,                0.96493,                 1.8974,                 1.2988,                0.53027,                0.61651,                0.65805,                0.50679,                    nan,                    nan,                    nan,             0.00023094,             0.00023094,             0.00023094
                     15,                0.94181,                 1.8183,                 1.2848,                0.66545,                 0.6238,                0.68441,                0.51675,                    nan,                    nan,                    nan,             0.00022609,             0.00022609,             0.00022609
                     16,                0.92559,                 1.7801,                 1.2636,                0.62785,                0.65582,                0.71549,                0.56264,                    nan,                    nan,                    nan,             0.00022123,             0.00022123,             0.00022123
                     17,                0.91845,                 1.7455,                 1.2662,                0.63066,                0.67206,                0.70295,                0.56014,                    nan,                    nan,                    nan,             0.00021638,             0.00021638,             0.00021638
                     18,                0.91401,                 1.6779,                 1.2603,                  0.614,                0.64198,                0.69887,                0.53912,                    nan,                    nan,                    nan,             0.00021153,             0.00021153,             0.00021153
                     19,                 0.9121,                  1.694,                 1.2534,                0.60778,                0.70948,                0.73347,                0.58734,                    nan,                    nan,                    nan,             0.00020668,             0.00020668,             0.00020668
                     20,                0.89718,                 1.6003,                 1.2534,                0.63502,                0.74691,                0.73403,                0.57694,                    nan,                    nan,                    nan,             0.00020183,             0.00020183,             0.00020183
                     21,                0.87203,                 1.5641,                 1.2345,                0.64397,                 0.6888,                0.73273,                0.57885,                    nan,                    nan,                    nan,             0.00019698,             0.00019698,             0.00019698
                     22,                0.88534,                 1.5477,                 1.2378,                0.67351,                0.73036,                0.74818,                0.59215,                    nan,                    nan,                    nan,             0.00019213,             0.00019213,             0.00019213
                     23,                0.87593,                 1.4984,                 1.2374,                0.69136,                0.70709,                0.74595,                0.59153,                    nan,                    nan,                    nan,             0.00018728,             0.00018728,             0.00018728
                     24,                0.88283,                 1.4809,                 1.2387,                0.68343,                0.70781,                 0.7602,                0.60094,                    nan,                    nan,                    nan,             0.00018243,             0.00018243,             0.00018243
                     25,                0.87637,                 1.4681,                 1.2241,                0.75053,                0.67938,                0.75255,                0.59082,                    nan,                    nan,                    nan,             0.00017758,             0.00017758,             0.00017758
                     26,                0.86755,                 1.4333,                 1.2195,                 0.6187,                0.75385,                0.74515,                0.58626,                    nan,                    nan,                    nan,             0.00017272,             0.00017272,             0.00017272
                     27,                0.86108,                  1.432,                 1.2224,                0.72975,                0.70289,                0.76051,                0.60237,                    nan,                    nan,                    nan,             0.00016787,             0.00016787,             0.00016787
                     28,                0.85916,                 1.3734,                 1.2152,                0.74613,                0.70051,                0.76973,                0.60682,                    nan,                    nan,                    nan,             0.00016302,             0.00016302,             0.00016302
                     29,                0.83961,                 1.3728,                 1.1987,                0.68924,                0.77956,                0.79112,                0.63051,                    nan,                    nan,                    nan,             0.00015817,             0.00015817,             0.00015817
                     30,                0.83186,                 1.3438,                 1.2026,                 0.7359,                0.74366,                0.78929,                0.62726,                    nan,                    nan,                    nan,             0.00015332,             0.00015332,             0.00015332
                     31,                0.84043,                 1.3437,                 1.2099,                0.71384,                 0.7668,                0.78023,                0.61666,                    nan,                    nan,                    nan,             0.00014847,             0.00014847,             0.00014847
                     32,                0.83801,                 1.3216,                 1.2047,                0.70823,                0.76431,                0.79616,                  0.632,                    nan,                    nan,                    nan,             0.00014362,             0.00014362,             0.00014362
                     33,                0.81746,                 1.2741,                 1.1898,                 0.7836,                0.72468,                0.79265,                0.63261,                    nan,                    nan,                    nan,             0.00013877,             0.00013877,             0.00013877
                     34,                0.81933,                 1.2575,                 1.1895,                0.78813,                0.78636,                0.81185,                0.64672,                    nan,                    nan,                    nan,             0.00013392,             0.00013392,             0.00013392
                     35,                0.82522,                 1.2534,                 1.1941,                0.80104,                0.71695,                0.80198,                0.63488,                    nan,                    nan,                    nan,             0.00012907,             0.00012907,             0.00012907
                     36,                0.81098,                 1.2193,                  1.191,                  0.758,                0.74133,                0.79062,                0.62799,                    nan,                    nan,                    nan,             0.00012422,             0.00012422,             0.00012422
                     37,                0.80824,                 1.2159,                 1.1828,                0.77383,                0.74147,                0.79467,                0.63121,                    nan,                    nan,                    nan,             0.00011936,             0.00011936,             0.00011936
                     38,                0.79765,                  1.193,                 1.1756,                0.77883,                0.74149,                0.80278,                0.63767,                    nan,                    nan,                    nan,             0.00011451,             0.00011451,             0.00011451
                     39,                0.79343,                 1.1761,                 1.1735,                0.77944,                0.76705,                0.80355,                0.64087,                    nan,                    nan,                    nan,             0.00010966,             0.00010966,             0.00010966
                     40,                0.78558,                 1.1544,                  1.173,                0.71781,                0.77124,                0.78642,                0.62413,                    nan,                    nan,                    nan,             0.00010481,             0.00010481,             0.00010481
                     41,                0.79422,                 1.1624,                 1.1715,                0.78954,                0.72029,                0.79364,                0.63725,                    nan,                    nan,                    nan,              9.996e-05,              9.996e-05,              9.996e-05
                     42,                 0.8047,                 1.1783,                 1.1757,                0.78349,                 0.7509,                0.80285,                0.63473,                    nan,                    nan,                    nan,             9.5109e-05,             9.5109e-05,             9.5109e-05
                     43,                0.79158,                 1.1473,                 1.1741,                0.76746,                0.77319,                0.80595,                0.63551,                    nan,                    nan,                    nan,             9.0258e-05,             9.0258e-05,             9.0258e-05
                     44,                0.77657,                 1.1255,                 1.1634,                0.74337,                0.76365,                0.79521,                 0.6334,                    nan,                    nan,                    nan,             8.5407e-05,             8.5407e-05,             8.5407e-05
                     45,                0.78721,                  1.131,                 1.1703,                0.77238,                0.76013,                0.80085,                0.63524,                    nan,                    nan,                    nan,             8.0556e-05,             8.0556e-05,             8.0556e-05
                     46,                0.77787,                 1.1107,                 1.1609,                0.76085,                0.76328,                0.79922,                0.64361,                    nan,                    nan,                    nan,             7.5705e-05,             7.5705e-05,             7.5705e-05
                     47,                0.76274,                 1.0915,                 1.1636,                0.79269,                0.76203,                0.80538,                0.65003,                    nan,                    nan,                    nan,             7.0854e-05,             7.0854e-05,             7.0854e-05
                     48,                0.76791,                 1.0868,                 1.1545,                0.79169,                0.74793,                0.81059,                0.65576,                    nan,                    nan,                    nan,             6.6003e-05,             6.6003e-05,             6.6003e-05
                     49,                 0.7665,                 1.0633,                 1.1521,                 0.8144,                0.73218,                0.80276,                0.64877,                    nan,                    nan,                    nan,             6.1152e-05,             6.1152e-05,             6.1152e-05
                     50,                0.76252,                 1.0631,                 1.1511,                0.77398,                0.78379,                 0.8056,                 0.6435,                    nan,                    nan,                    nan,             5.6301e-05,             5.6301e-05,             5.6301e-05
                     51,                0.58726,                 0.6991,                 1.0697,                0.77904,                0.75273,                0.80093,                0.64058,                    nan,                    nan,                    nan,              5.145e-05,              5.145e-05,              5.145e-05
                     52,                0.57766,                 0.6601,                 1.0712,                0.80413,                0.70523,                0.80144,                0.63773,                    nan,                    nan,                    nan,             4.6599e-05,             4.6599e-05,             4.6599e-05
                     53,                0.56405,                0.63542,                 1.0588,                0.81587,                0.71708,                 0.7995,                 0.6437,                    nan,                    nan,                    nan,             4.1748e-05,             4.1748e-05,             4.1748e-05
                     54,                0.56305,                0.62394,                  1.058,                0.76894,                 0.7431,                0.79597,                0.64626,                    nan,                    nan,                    nan,             3.6897e-05,             3.6897e-05,             3.6897e-05
                     55,                 0.5613,                0.61736,                 1.0577,                0.82582,                0.73295,                0.80768,                0.65192,                    nan,                    nan,                    nan,             3.2046e-05,             3.2046e-05,             3.2046e-05
                     56,                0.54858,                0.60695,                 1.0482,                0.78206,                0.75883,                0.81016,                0.65228,                    nan,                    nan,                    nan,             2.7195e-05,             2.7195e-05,             2.7195e-05
                     57,                0.54551,                0.58961,                 1.0431,                0.79518,                0.75303,                0.80598,                 0.6515,                    nan,                    nan,                    nan,             2.2344e-05,             2.2344e-05,             2.2344e-05
                     58,                0.53766,                0.58526,                 1.0458,                0.82505,                0.72873,                0.81001,                0.65082,                    nan,                    nan,                    nan,             1.7493e-05,             1.7493e-05,             1.7493e-05
                     59,                0.52446,                0.55262,                 1.0288,                0.81211,                0.73321,                0.80741,                0.65038,                    nan,                    nan,                    nan,             1.2642e-05,             1.2642e-05,             1.2642e-05
                     60,                 0.5296,                 0.5576,                 1.0281,                0.78258,                0.76177,                0.80361,                0.64693,                    nan,                    nan,                    nan,              7.791e-06,              7.791e-06,              7.791e-06
